SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
31d81c0bac,Aceitunas,Fruto ovalado y pequeño con hueso que se utiliza para aportar sabor salado y umami a las hamburguesas.,67,0,5,6,9,"[1, 3, 5, 11, 13, 15, 17, 21, 22, 24]",10,fabrica
22993410e2,Aguacate,Fruta con pulpa cremosa y sabor suave que se utiliza para aportar cremosidad y sabor a las hamburguesas.,81,0,7,4,8,"[1, 3, 5, 7, 8, 10, 12, 13, 16, 21, 23, 25]",12,fabrica
d2a6ebd445,Albahaca,La albahaca es una hierba aromática con un sabor fresco y ligeramente dulce que puede realzar y complementar muchos platos.,38,0,6,2,10,"[1, 3, 5, 6, 7, 18, 20, 21, 23, 24]",10,fabrica
c6d6ea106e,Alioli,"Una salsa mediterránea hecha de ajo, aceite de oliva, y a menudo huevo para emulsionar. Tiene un sabor fuerte y a ajo y una textura cremosa.",24,0,8,2,10,"[6, 9, 10, 11, 14, 15, 16, 18, 20, 21, 24]",11,fabrica
d5e63913c0,Atún a la parrilla,"El atún a la parrilla tiene un sabor rico y un poco dulce, y su textura puede ser firme y escamosa. Al asar el atún, se forma una corteza crujiente en el exterior mientras que el interior se mantiene tierno.",68,0,6,2,10,"[1, 2, 4, 5, 7, 8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 22]",16,fabrica
cc215def14,Berenjenas,Una verdura de piel morada oscura con una carne blanca y esponjosa. Tiene un sabor suave que puede absorber fácilmente otros sabores y una textura que se vuelve cremosa al cocinarla.,61,0,5,2,5,"[1, 3, 5, 6, 7, 8, 13, 14, 15, 23, 24]",11,fabrica
cb7a258249,Carne de cangrejo,Carne de cangrejo es sabrosa y delicada con un sabor suave y dulce que recuerda al mar. Es suave en textura y baja en grasa.,57,0,9,2,6,"[1, 4, 5, 6, 13, 14, 15, 19, 23]",9,fabrica
015edda868,Carne de cerdo,Carne magra y tierna con sabor suave que se utiliza para hamburguesas más jugosas y con un toque dulce.,69,0,9,2,9,"[1, 2, 3, 7, 8, 9, 10, 11, 13, 14, 17, 18, 20]",13,fabrica
fb1d4530bb,Carne de cordero,La carne de cordero tiene un sabor rico y ligeramente graso que es más fuerte que el de la carne de vaca o de pollo. Su textura puede variar dependiendo de cómo se cocine.,11,0,3,2,7,"[2, 3, 6, 7, 8, 9, 10, 11, 16, 17, 20, 22, 24, 25]",14,fabrica
7df9988cf9,Carne de pavo,Carne magra y baja en grasas con sabor suave que se utiliza para hamburguesas más saludables y ligeras.,95,0,10,3,5,"[1, 8, 9, 15, 16, 19, 25]",7,fabrica
1384839fbe,Carne de res,Carne roja y jugosa con sabor intenso que se utiliza para hamburguesas más sabrosas y jugosas.,29,0,7,2,5,"[2, 5, 7, 10, 14, 18, 19, 23, 25]",9,fabrica
8fcd9e64a5,Carne de ternera,"La carne de ternera es jugosa y llena de sabor, con un sabor y una textura que pueden variar según el corte y cómo se cocina.",40,0,8,2,9,"[2, 3, 4, 5, 6, 9, 10, 13, 15, 22]",10,fabrica
48a35f4045,Carne de venado,"La carne de venado es conocida por su sabor rico, terroso y ligeramente dulce. Es más magra que la carne de res y tiene una textura firme.",72,0,6,2,10,"[2, 5, 7, 8, 12, 14, 15, 16, 19, 20, 24]",11,fabrica
