SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
31d81c0bac,Aceitunas,Fruto ovalado y pequeño con hueso que se utiliza para aportar sabor salado y umami a las hamburguesas.,1,0,5,6,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
22993410e2,Aguacate,Fruta con pulpa cremosa y sabor suave que se utiliza para aportar cremosidad y sabor a las hamburguesas.,1,0,5,4,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
015edda868,Carne de cerdo,Carne magra y tierna con sabor suave que se utiliza para hamburguesas más jugosas y con un toque dulce.,1,0,5,2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
7df9988cf9,Carne de pavo,Carne magra y baja en grasas con sabor suave que se utiliza para hamburguesas más saludables y ligeras.,1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
537b0722b5,Pechuga de pollo,Es un corte de carne de pollo que se encuentra en la parte delantera del ave. Es una opción popular para las personas que buscan una fuente de proteína magra.,1,0,5,5,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
1384839fbe,Carne de res,Carne roja y jugosa con sabor intenso que se utiliza para hamburguesas más sabrosas y jugosas.,1,0,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
5df7f1701b,Tofu,Es un producto de origen vegetal hecho de soja. Es una buena fuente de proteína vegetal y se utiliza comúnmente como sustituto de la carne en las dietas vegetarianas y veganas.,1,0,5,4,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
8f36f2c5c3,Filete de Salmón a la parrilla,Es un filete de salmón que se ha cocinado a la parrilla. Es una buena fuente de proteína y ácidos grasos omega-3.,1,0,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
56b708699a,Portobello a la parrilla,Es un hongo grande y carnoso que se puede cocinar a la parrilla. Es una opción popular para las personas que siguen una dieta vegetariana o vegana.,1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
8ed28eed84,Hamburguesa vegetariana de lentejas y zanahoria,Es una hamburguesa hecha a base de lentejas y zanahoria en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,1,0,5,3,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
d33c24a6c4,Hamburguesa vegetariana de champiñones,Es una hamburguesa hecha a base de champiñones en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,1,0,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
5651dc98d1,Hamburguesa vegetariana de espinacas y feta,Es una hamburguesa hecha a base de espinacas y queso feta en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,1,0,5,1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
